Time, Chamber Pressure,
(ms),(bar)
19.94,1.5788994194
19.96,1.5788994194
19.98,1.5788994194
20,1.5788994194
20.02,1.585104701
20.04,1.585104701
20.06,1.585104701
20.08,1.585104701
20.1,1.585104701
20.12,1.585104701
20.14,1.5919994583
20.16,1.5919994583
20.18,1.5919994583
20.2,1.5988942156
20.22,1.5988942156
20.24,1.5988942156
20.26,1.5988942156
20.28,1.5988942156
20.3,1.5988942156
20.32,1.5988942156
20.34,1.6057889728
20.36,1.6057889728
20.38,1.6057889728
20.4,1.6119942544
20.42,1.6119942544
20.44,1.6119942544
20.46,1.6188890117
20.48,1.625783769
20.5,1.6388838078
20.52,1.6526733224
20.54,1.666462837
20.56,1.6864576331
20.58,1.7202419439
20.6,1.7533367788
20.62,1.780915808
20.64,1.8009106041
20.66,1.8209054003
20.68,1.8409001964
20.7,1.8677897499
20.72,1.895368779
20.74,1.9222583325
20.76,1.9491478859
20.78,1.9760374393
20.8,2.00982175
20.82,2.0567060996
20.84,2.1035904492
20.86,2.1442695172
20.88,2.1780538279
20.9,2.2049433813
20.92,2.2449329736
20.94,2.2925067989
20.96,2.3462859058
20.98,2.3800702165
21,2.3800702165
21.02,2.3862754981
21.04,2.4676336341
21.06,2.5882918867
21.08,2.6965395761
21.1,2.7703134791
21.12,2.8847664501
21.14,3.1543514602
21.16,3.4439312664
21.18,3.5445947228
21.2,3.5714842762
21.22,3.7266163152
21.24,4.2582021023
21.26,4.2582021023
21.28,3.9217379466
21.3,4.1844281993
21.32,4.3933393452
21.34,4.2850916557
21.36,4.2850916557
21.38,6.083244357
21.4,5.9550018714
21.42,5.0462728606
21.44,6.7361778723
21.46,7.6855859512
21.48,6.1501235027
21.5,5.5171847835
21.52,6.3659294059
21.54,6.8775203968
21.56,5.5171847835
21.58,4.0361909176
21.6,3.2887992273
21.62,2.9047612463
21.64,2.6289709547
21.66,4.4940028016
21.68,8.7694417972
21.7,9.4092752737
21.72,5.9150122791
21.74,5.2820735599
21.76,6.6486144547
21.78,7.9882657962
21.8,7.8069336795
21.82,5.187615385
21.84,3.4770261013
21.86,2.6558605081
21.88,2.3731754592
21.9,4.4940028016
21.92,6.5141666876
21.94,8.3791985345
21.96,6.0563548035
21.98,4.8642512681
22,6.2645764737
22.02,7.6118120482
22.04,7.207779271
22.06,5.9818914248
22.08,4.6153505299
22.1,3.8003902182
22.12,4.9118250934
22.14,5.2145049384
22.16,3.9824118107
22.18,3.8879536358
22.2,5.6254324729
22.22,5.9818914248
22.24,4.9656042003
22.26,4.8980355788
22.28,6.8975151929
22.3,7.0388577174
22.32,6.655509212
22.34,7.7055807473
22.36,6.6417196975
22.38,4.0361909176
22.4,3.2350201205
22.42,3.8879536358
22.44,4.8304669574
22.46,4.3257707237
22.48,3.5852737908
22.5,3.8610640824
22.52,5.7460907255
22.54,9.3148170988
22.56,8.1902821848
22.58,5.5447638126
22.6,5.8336541431
22.62,6.4465980662
22.64,5.0462728606
22.66,3.7266163152
22.68,3.5583842374
22.7,3.8541693251
22.72,4.1168595779
22.74,3.9355274611
22.76,5.4434108805
22.78,6.1708077746
22.8,5.7460907255
22.82,6.1232339492
22.84,6.9450890182
22.86,6.3521398913
22.88,5.4503056377
22.9,4.9049303361
22.92,4.5953557338
22.94,4.7497982971
22.96,5.5378690553
22.98,5.5509690942
23,3.7466111114
23.02,2.4676336341
23.04,3.8879536358
23.06,5.604748201
23.08,6.5341614837
23.1,6.5072719303
23.12,5.5040847446
23.14,5.113841482
23.16,6.2376869203
23.18,7.207779271
23.2,6.8506308433
23.22,5.0055937925
23.24,3.3294782953
23.26,2.9254455181
23.28,3.1605567417
23.3,3.5583842374
23.32,4.5953557338
23.34,5.4771951912
23.36,5.8005593081
23.38,6.3252503378
23.4,6.8975151929
23.42,5.8336541431
23.44,5.2820735599
23.46,6.2583711921
23.48,6.5072719303
23.5,4.5815662192
23.52,3.1605567417
23.54,3.2887992273
23.56,3.9355274611
23.58,4.1913229566
23.6,5.3151683949
23.62,5.5447638126
23.64,4.2788863742
23.66,4.0768699856
23.68,5.7460907255
23.7,6.9650838144
23.72,6.5810458333
23.74,5.3827370163
23.76,5.2951735987
23.78,5.2682840453
23.8,4.3057759276
23.82,4.0830752671
23.84,4.4333289375
23.86,3.8679588397
23.88,2.9723298677
23.9,3.1067776349
23.92,4.2113177527
23.94,5.8812279684
23.96,6.729283115
23.98,6.4465980662
24,5.8405489004
24.02,5.8543384149
24.04,6.2245868814
24.06,5.0862624528
24.08,3.8879536358
24.1,3.793495461
24.12,3.989306568
24.14,3.5046051305
24.16,2.9723298677
24.18,3.5445947228
24.2,5.2076101811
24.22,6.1908025707
24.24,6.0563548035
24.26,5.4840899485
24.28,5.2882788414
24.3,5.3696369775
24.32,5.5109795019
24.34,5.1738258704
24.36,4.6760243941
24.38,4.6015610153
24.4,4.6829191514
24.42,3.7735006648
24.44,2.864771654
24.46,3.5314946839
24.48,4.9518146857
24.5,5.0262780644
24.52,4.2719916169
24.54,4.7298035009
24.56,5.8136593469
24.58,6.2107973668
24.6,5.8005593081
24.62,6.0901391143
24.64,6.1839078134
24.66,4.6891244329
24.68,3.3763626449
24.7,3.1812410136
24.72,3.5852737908
24.74,3.6390528977
24.76,3.6728372084
24.78,3.874853597
24.8,4.7697930932
24.82,6.0294652501
24.84,6.3390398524
24.86,5.342747424
24.88,5.6116429583
24.9,6.4334980273
24.92,5.375842259
24.94,3.9286327038
24.96,3.6321581404
24.98,4.136854374
25,4.1844281993
25.02,3.719721558
25.04,3.760400626
25.06,4.1437491313
25.08,4.1506438886
25.1,4.4871080443
25.12,5.4234160843
25.14,5.8743332111
25.16,5.6723168225
25.18,5.1738258704
25.2,4.9449199284
25.22,5.2482892491
25.24,5.4296213659
25.26,5.2820735599
25.28,4.3057759276
25.3,3.1336671883
25.32,2.6758553042
25.34,3.2688044312
25.36,3.9017431504
25.38,4.4202288986
25.4,4.9656042003
25.42,5.5109795019
25.44,5.5647586088
25.46,5.6592167836
25.48,6.083244357
25.5,5.8943280072
25.52,5.0531676178
25.54,4.2519968207
25.56,4.0292961603
25.58,3.719721558
25.6,3.1605567417
25.62,3.052998528
25.64,3.6659424511
25.66,4.7566930544
25.68,5.1607258316
25.7,4.5746714619
25.72,4.2788863742
25.74,5.228294453
25.76,6.1101339104
25.78,5.7260959293
25.8,4.9718094818
25.82,4.7160139864
25.84,4.8780407827
25.86,4.5408871512
25.88,3.7266163152
25.9,3.6790424899
25.92,4.1575386459
25.94,3.760400626
25.96,2.8916612074
25.98,3.0736827999
26,4.6491348406
26.02,6.0156757355
26.04,5.7260959293
26.06,5.1338362781
26.08,5.4771951912
26.1,5.8943280072
26.12,5.416521327
26.14,4.5008975589
26.16,4.0361909176
26.18,3.793495461
26.2,3.4708208198
26.22,2.9654351104
26.24,2.8916612074
26.26,3.7335110725
26.28,5.1200467636
26.3,5.375842259
26.32,4.6491348406
26.34,4.7835826078
26.36,5.7736697546
26.38,5.604748201
26.4,4.6553401222
26.42,4.6891244329
26.44,5.1269415208
26.46,4.8104721612
26.48,3.760400626
26.5,3.1205671495
26.52,3.4639260625
26.54,4.21821251
26.56,4.2850916557
26.58,3.5914790724
26.6,3.4301417518
26.62,4.4133341413
26.64,5.604748201
26.66,5.6316377545
26.68,5.2551840064
26.7,5.7398854439
26.72,5.8136593469
26.74,4.6491348406
26.76,3.7266163152
26.78,3.8410692863
26.8,4.1844281993
26.82,3.6659424511
26.84,2.8040977898
26.86,2.6696500227
26.88,3.7335110725
26.9,5.1807206277
26.92,5.6116429583
26.94,4.9049303361
26.96,4.9318198895
26.98,5.6185377156
27,5.4027318124
27.02,4.5815662192
27.04,4.3526602772
27.06,4.6353453261
27.08,4.4333289375
27.1,3.6859372472
27.12,3.1274619067
27.14,3.4101469556
27.16,4.0768699856
27.18,4.21821251
27.2,3.8541693251
27.22,4.0561857137
27.24,4.8780407827
27.26,5.261389288
27.28,4.9518146857
27.3,4.958709443
27.32,5.7598802401
27.34,5.9012227645
27.36,4.7366982582
27.38,3.6728372084
27.4,3.4501365479
27.42,3.6790424899
27.44,3.6190581015
27.46,3.2350201205
27.48,3.208130567
27.5,3.7466111114
27.52,4.4809027628
27.54,5.1338362781
27.56,5.49029523
27.58,5.6654220652
27.6,5.530974298
27.62,4.844256472
27.64,4.3457655199
27.66,4.406439384
27.68,4.5277871123
27.7,4.1575386459
27.72,3.5783790335
27.74,3.2750097128
27.76,3.3225835381
27.78,3.7872901794
27.8,4.2044229954
27.82,4.3188759665
27.84,4.3595550345
27.86,4.6960191902
27.88,4.9318198895
27.9,4.8980355788
27.92,5.1000519674
27.94,5.4840899485
27.96,5.3289579094
27.98,4.6353453261
28,4.0968647817
28.02,3.719721558
28.04,3.4439312664
28.06,3.2281253632
28.08,3.208130567
28.1,3.5376999655
28.12,3.9955118496
28.14,4.2650968596
28.16,4.5884609765
28.18,5.228294453
28.2,5.6792115798
28.22,5.5378690553
28.24,5.1538310743
28.26,4.7229087437
28.28,4.3595550345
28.3,4.0499804321
28.32,3.793495461
28.34,3.6659424511
28.36,3.6997267618
28.38,3.6728372084
28.4,3.4639260625
28.42,3.5108104121
28.44,4.1506438886
28.46,4.8373617147
28.48,4.8980355788
28.5,4.7029139475
28.52,4.7229087437
28.54,4.958709443
28.56,5.0862624528
28.58,5.0931572101
28.6,5.0193833071
28.62,4.6284505688
28.64,3.874853597
28.66,3.2481201593
28.68,3.093677596
28.7,3.3087940235
28.72,3.6190581015
28.74,3.8610640824
28.76,3.9755170534
28.78,4.177533442
28.8,4.8842460642
28.82,5.6454272691
28.84,5.5647586088
28.86,5.1407310354
28.88,4.9924937537
28.9,4.7098087048
28.92,4.1237543351
28.94,3.6997267618
28.96,3.6521529365
28.98,3.7535058687
29,3.645947655
29.02,3.3832574022
29.04,3.4570313052
29.06,4.022401403
29.08,4.5477819085
29.1,4.5953557338
29.12,4.5884609765
29.14,4.8842460642
29.16,5.0531676178
29.18,4.9249251322
29.2,4.844256472
29.22,4.8842460642
29.24,4.7697930932
29.26,4.3664497918
29.28,3.7535058687
29.3,3.28190447
29.32,3.1543514602
29.34,3.2887992273
29.36,3.5314946839
29.38,3.8210744901
29.4,4.2044229954
29.42,4.6691296368
29.44,5.0593728994
29.46,5.1945101423
29.48,5.228294453
29.5,5.375842259
29.52,5.1000519674
29.54,4.3933393452
29.56,3.9017431504
29.58,3.7335110725
29.6,3.6190581015
29.62,3.4977103732
29.64,3.5245999266
29.66,3.645947655
29.68,3.793495461
29.7,4.0499804321
29.72,4.3457655199
29.74,4.5615714231
29.76,4.8642512681
29.78,5.0931572101
29.8,4.9049303361
29.82,4.6691296368
29.84,4.7835826078
29.86,4.958709443
29.88,4.7029139475
29.9,4.0499804321
29.92,3.5376999655
29.94,3.3763626449
29.96,3.3832574022
29.98,3.28190447
30,3.3901521595
30.02,3.8879536358
30.04,4.4471184521
30.06,4.7366982582
30.08,4.958709443
30.1,5.2551840064
30.12,5.3696369775
30.14,5.1538310743
30.16,4.7566930544
30.18,4.3388707626
30.2,4.0024066068
30.22,3.7397163541
30.24,3.5177051694
30.26,3.3563678488
30.28,3.3901521595
30.3,3.6728372084
30.32,4.0699752283
30.34,4.2650968596
30.36,4.2244177916
30.38,4.4333289375
30.4,4.9318198895
30.42,5.0862624528
30.44,4.8035774039
30.46,4.7635878117
30.48,4.9449199284
30.5,4.7229087437
30.52,4.2519968207
30.54,3.9355274611
30.56,3.7735006648
30.58,3.5514894801
30.6,3.3025887419
30.62,3.167451499
30.64,3.3963574411
30.66,3.9686222961
30.68,4.5546766658
30.7,4.8304669574
30.72,4.9318198895
30.74,5.1269415208
30.76,5.3089631133
30.78,5.146936317
30.8,4.6353453261
30.82,4.2382073062
30.84,4.0561857137
30.86,3.793495461
30.88,3.3963574411
30.9,3.2212306059
30.92,3.4570313052
30.94,3.834174529
30.96,4.0699752283
30.98,4.177533442
31,4.291986413
31.02,4.5677767046
31.04,4.8911408215
31.06,4.9449199284
31.08,4.7635878117
31.1,4.7366982582
31.12,4.8711460254
31.14,4.7566930544
31.16,4.2650968596
31.18,3.7803954221
31.2,3.6052685869
31.22,3.6121633442
31.24,3.4977103732
31.26,3.28190447
31.28,3.3901521595
31.3,3.9148431893
31.32,4.4471184521
31.34,4.7904773651
31.36,5.0393781033
31.38,5.2551840064
31.4,5.2145049384
31.42,4.9318198895
31.44,4.5746714619
31.46,4.2719916169
31.48,4.0499804321
31.5,3.8072849755
31.52,3.4977103732
31.54,3.2750097128
31.56,3.2887992273
31.58,3.6659424511
31.6,4.1844281993
31.62,4.3933393452
31.64,4.3119812092
31.66,4.4202288986
31.68,4.7697930932
31.7,4.9118250934
31.72,4.7904773651
31.74,4.7973721224
31.76,4.8511512292
31.78,4.6153505299
31.8,4.1913229566
31.82,3.8541693251
31.84,3.6790424899
31.86,3.5783790335
31.88,3.4839208586
31.9,3.3963574411
31.92,3.4570313052
31.94,3.793495461
31.96,4.3388707626
31.98,4.7904773651
32,4.9986990353
32.02,5.1000519674
32.04,5.228294453
32.06,5.073162414
32.08,4.5477819085
32.1,4.1706386847
32.12,4.0768699856
32.14,3.9286327038
32.16,3.5714842762
32.18,3.2956939846
32.2,3.3225835381
32.22,3.6190581015
32.24,4.022401403
32.26,4.3257707237
32.28,4.3933393452
32.3,4.4809027628
32.32,4.6891244329
32.34,4.8035774039
32.36,4.7366982582
32.38,4.7298035009
32.4,4.8511512292
32.42,4.7973721224
32.44,4.332665481
32.46,3.7872901794
32.48,3.5783790335
32.5,3.6521529365
32.52,3.6321581404
32.54,3.4570313052
32.56,3.4370365091
32.58,3.7128268007
32.6,4.1575386459
32.62,4.6084557726
32.64,4.9656042003
32.66,5.1676205889
32.68,5.187615385
32.7,4.9986990353
32.72,4.6222452872
32.74,4.2719916169
32.76,4.0899700244
32.78,3.9686222961
32.8,3.7266163152
32.82,3.4232469945
32.84,3.2750097128
32.86,3.4770261013
32.88,3.9355274611
32.9,4.2650968596
32.92,4.3526602772
32.94,4.4471184521
32.96,4.6284505688
32.98,4.6960191902
33,4.6891244329
33.02,4.7973721224
33.04,4.8842460642
33.06,4.7229087437
33.08,4.3995446267
33.1,4.0499804321
33.12,3.760400626
33.14,3.5583842374
33.16,3.4977103732
33.18,3.5245999266
33.2,3.5783790335
33.22,3.6859372472
33.24,3.9148431893
33.26,4.332665481
33.28,4.8035774039
33.3,5.113841482
33.32,5.2344997346
33.34,5.073162414
33.36,4.6829191514
33.38,4.3595550345
33.4,4.2113177527
33.42,4.0361909176
33.44,3.7803954221
33.46,3.5714842762
33.48,3.4708208198
33.5,3.4570313052
33.52,3.6052685869
33.54,3.9824118107
33.56,4.3595550345
33.58,4.5346818696
33.6,4.5208923551
33.62,4.5077923162
33.64,4.6015610153
33.66,4.7904773651
33.68,4.8911408215
33.7,4.8173669185
33.72,4.5677767046
33.74,4.2244177916
33.76,3.8810588785
33.78,3.6521529365
33.8,3.5177051694
33.82,3.4770261013
33.84,3.5783790335
33.86,3.7059320434
33.88,3.7666059075
33.9,3.989306568
33.92,4.5208923551
33.94,5.0593728994
33.96,5.2007154238
33.98,5.0393781033
34,4.8173669185
34.02,4.5746714619
34.04,4.3119812092
34.06,4.0830752671
34.08,3.907948432
34.1,3.7535058687
34.12,3.5852737908
34.14,3.4708208198
34.16,3.5177051694
34.18,3.7397163541
34.2,4.0899700244
34.22,4.4202288986
34.24,4.5477819085
34.26,4.4533237336
34.28,4.4471184521
34.3,4.7029139475
34.32,4.9049303361
34.34,4.8242616758
34.36,4.6491348406
34.38,4.5139975978
34.4,4.2244177916
34.42,3.7803954221
34.44,3.4639260625
34.46,3.4370365091
34.48,3.5914790724
34.5,3.7128268007
34.52,3.6997267618
34.54,3.7535058687
34.56,4.1237543351
34.58,4.7298035009
34.6,5.1676205889
34.62,5.1538310743
34.64,4.8711460254
34.66,4.6553401222
34.68,4.5208923551
34.7,4.2850916557
34.72,3.9755170534
34.74,3.8272797717
34.76,3.8141797328
34.78,3.6859372472
34.8,3.4639260625
34.82,3.4439312664
34.84,3.7872901794
34.86,4.2582021023
34.88,4.4871080443
34.9,4.3933393452
34.92,4.3188759665
34.94,4.5277871123
34.96,4.8373617147
34.98,4.9118250934
35,4.7766878505
